respondent_id,xyz_vaccine,seasonal_vaccine
0,0.036679733331862065,0.06509463587224823
1,0.27831815658105236,0.17152464803778825
2,0.03498799316933556,0.12383937753602257
3,0.09066727437152197,0.896217381679997
4,0.059344381544207056,0.07716901630742981
5,0.22296335582329974,0.8322094918259043
6,0.07498421712526454,0.3401473604425587
7,0.5111547709334686,0.41066395299476205
8,0.06489821843248049,0.32456024247187704
9,0.09582797479180856,0.43774524702874745
10,0.04719709606907975,0.6455997448402268
11,0.08090087497912678,0.3554046420198161
12,0.05790290462677641,0.9023248851753035
13,0.02894280615328659,0.2593957940028382
14,0.33886698166632784,0.6525894699965329
15,0.066233531084344,0.041122358164929707
16,0.27126064419221335,0.8756721156324706
17,0.08147660865881297,0.2790145745475403
18,0.7165030199292064,0.8841370381537038
19,0.11391413534683865,0.5396991561178305
20,0.35453055340884554,0.36128115294125823
21,0.42226929179645506,0.45481420850186866
22,0.32655461542619385,0.21128040781473717
23,0.21249253536199736,0.22976334063112266
24,0.12096838370895018,0.05698418390777441
25,0.06083787661237794,0.2904509620306082
26,0.19978640711698892,0.7093955293973
27,0.11389529750840344,0.2495324894802983
28,0.013932545210396979,0.08399894825490332
29,0.17300017388044867,0.32497038246781634
30,0.06556744289741885,0.2701357914816733
31,0.09629635694286198,0.12494977366640883
32,0.08513278139211106,0.22895348135879554
33,0.7309583954108979,0.5837291336812372
34,0.13566374005205867,0.1825235466330188
35,0.5273267837438196,0.4363502356362039
36,0.10221922451130348,0.3768584367146696
37,0.05350164651560906,0.13360975892740926
38,0.2397881797980438,0.5528140322354432
39,0.43170173235656734,0.9249314847588386
40,0.2227398598176989,0.4225803839588612
41,0.4097741880983412,0.8534743112722717
42,0.03883094649813953,0.05309527772296366
43,0.22419065314720932,0.06065067423019162
44,0.054443537269671535,0.1647303274932061
45,0.028400370621679046,0.27215869799695436
46,0.21940830852801016,0.3231455883964936
47,0.19045645471788433,0.18082913817517351
48,0.33465348559254227,0.7707162427928581
49,0.26263729508376804,0.494867446268477
50,0.18987145501124605,0.47694617534231293
51,0.08628575941135985,0.7533493371294181
52,0.10466991567359411,0.250910648154581
53,0.13090836789919924,0.48045724096087056
54,0.0643117292434935,0.281646105539976
55,0.1122052945835415,0.3505357503408172
56,0.11248421003561636,0.9412311733072921
57,0.10166404052918734,0.7309877395949161
58,0.1008359526087906,0.3091468854233192
59,0.039287157183351934,0.08765603463068757
60,0.6194473417811168,0.8524893954336391
61,0.062023843898445126,0.36727015735038615
62,0.04641631747623221,0.2148690428686926
63,0.5368312339349286,0.5590567827930227
64,0.056382459446783786,0.1517865404565957
65,0.040842258351406285,0.21229167400059723
66,0.0780163299360097,0.07893685280351555
67,0.3371425501787437,0.46881113118441703
68,0.09154595565859754,0.6723150997754184
69,0.07599043090181237,0.5960001264302529
70,0.04715677943487172,0.183180160926921
71,0.3155353139592765,0.927497695576498
72,0.15008365993364528,0.37927642287908736
73,0.22761883250558487,0.9498750670532978
74,0.6295103649509158,0.5092879999095749
75,0.6039206699075541,0.6610860633597566
76,0.10349181628709891,0.773332742531449
77,0.20462593537611543,0.7813112440286303
78,0.26079212126059054,0.6794173839605075
79,0.28669319853978564,0.9084926751360621
80,0.06448474147807473,0.22515292204042683
81,0.07851486871149949,0.5633586713039852
82,0.42798108530988743,0.6719113352836986
83,0.40398329030867786,0.5143299221959486
84,0.7240023376386444,0.9602328644336436
85,0.5670223999376607,0.897456489220447
86,0.043669587525199,0.13326243806439342
87,0.08798769383082373,0.2484713146896582
88,0.06578084420385555,0.35926925668823895
89,0.04634457144100265,0.08699383188590258
90,0.16359627019726133,0.19657450165174828
91,0.17956883981342991,0.6605702370394286
92,0.014796394176749189,0.09591213146920914
93,0.28227629356845363,0.5802550910906652
94,0.27730074478670336,0.7968783820674064
95,0.4329030481941623,0.19583697224799024
96,0.7708585274970831,0.9240458388727486
97,0.1849946486308023,0.8195428727534994
98,0.22610132941422748,0.05959043267286793
99,0.13525200964701578,0.6705342188311937
100,0.4255683689955944,0.06771133790242512
101,0.9020123461089785,0.6336849013935567
102,0.30111514417696766,0.5949631726228235
103,0.030637418280983292,0.13606299620627912
104,0.02068356119633615,0.3130859575703137
105,0.12946119658350635,0.45836196792094847
106,0.08866352992464231,0.16293717392930387
107,0.30022820182796905,0.6621089809666314
108,0.13050172727998255,0.08963247198738822
109,0.056392167332544416,0.44583587593511925
110,0.816426461730025,0.7106467130150066
111,0.025739516834637294,0.172195658628622
